                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     83,                 1.9028,                 0.8733,                0.77281,                0.91153,                0.62803,                 0.6883,                0.30903,                 1.6995,                0.66678,                0.79958,             0.00021209,             0.00021209,             0.00021209
                     84,                 1.8996,                0.87699,                0.77164,                0.89339,                0.60761,                0.65522,                0.26042,                 1.9141,                 0.7084,                0.80684,             0.00021033,             0.00021033,             0.00021033
                     85,                 1.9236,                0.87541,                0.76542,                0.87743,                0.62251,                 0.6668,                0.30751,                  1.723,                0.65622,                0.80012,             0.00020856,             0.00020856,             0.00020856
                     86,                 1.9168,                0.86626,                0.76897,                0.89907,                0.63773,                0.68218,                0.30901,                 1.7026,                0.65442,                0.79985,             0.00020679,             0.00020679,             0.00020679
                     87,                 1.8888,                 0.8509,                0.76824,                0.91668,                0.64111,                0.69482,                0.31941,                 1.6748,                0.65103,                0.79818,             0.00020503,             0.00020503,             0.00020503
                     88,                 1.8857,                0.85425,                0.77213,                0.92214,                0.64105,                0.70244,                0.32855,                 1.6623,                0.65015,                0.79924,             0.00020326,             0.00020326,             0.00020326
                     89,                 1.8829,                0.85692,                0.76952,                0.91586,                0.64444,                0.69954,                0.32311,                 1.6672,                0.64283,                0.79801,             0.00020149,             0.00020149,             0.00020149
                     90,                 1.8957,                0.86285,                0.76387,                0.90099,                0.64392,                0.70531,                0.32726,                  1.679,                 0.6539,                0.79843,             0.00019972,             0.00019972,             0.00019972
                     91,                 1.8875,                0.85498,                0.76563,                0.89816,                0.63033,                0.68014,                0.30172,                 1.7653,                0.66341,                0.79792,             0.00019796,             0.00019796,             0.00019796
                     92,                 1.8684,                0.85559,                0.76405,                0.91777,                0.64796,                0.70685,                0.32375,                 1.6821,                0.65367,                0.79592,             0.00019619,             0.00019619,             0.00019619
                     93,                 1.8673,                0.85132,                0.76627,                0.90713,                0.64071,                0.69999,                0.31463,                 1.7257,                0.65356,                0.79871,             0.00019442,             0.00019442,             0.00019442
                     94,                 1.8813,                0.84435,                0.76499,                0.90583,                0.64205,                0.69956,                0.31966,                 1.6645,                0.64286,                0.79853,             0.00019266,             0.00019266,             0.00019266
                     95,                 1.8494,                0.83763,                0.76394,                0.90205,                0.63855,                0.69994,                0.32655,                 1.6707,                0.63824,                0.79698,             0.00019089,             0.00019089,             0.00019089
                     96,                 1.8808,                0.85917,                0.76641,                0.89154,                0.62707,                0.67563,                0.29468,                 1.7388,                0.65672,                0.79845,             0.00018912,             0.00018912,             0.00018912
                     97,                 1.8615,                0.83796,                0.76697,                0.90463,                0.65159,                0.70134,                0.32719,                 1.6533,                0.63073,                0.79616,             0.00018735,             0.00018735,             0.00018735
                     98,                 1.8667,                 0.8336,                0.77192,                0.90742,                0.64261,                0.69282,                0.31233,                 1.6963,                0.64662,                0.79641,             0.00018559,             0.00018559,             0.00018559
                     99,                 1.8599,                0.84169,                0.76504,                0.89511,                0.62718,                0.68219,                0.29987,                 1.7612,                0.67017,                0.79963,             0.00018382,             0.00018382,             0.00018382
                    100,                 1.8488,                0.83856,                0.76466,                0.89746,                0.65213,                0.70303,                0.32855,                 1.6582,                0.63585,                0.79808,             0.00018205,             0.00018205,             0.00018205
                    101,                 1.8608,                0.83508,                0.76557,                 0.8956,                0.63486,                0.69192,                0.32605,                 1.6574,                0.63782,                0.79733,             0.00018028,             0.00018028,             0.00018028
                    102,                  1.833,                0.81684,                0.77536,                0.90614,                0.64289,                 0.6992,                0.32827,                 1.6419,                0.63323,                0.79702,             0.00017852,             0.00017852,             0.00017852
                    103,                 1.8548,                0.83791,                0.76233,                 0.9025,                0.62612,                0.69379,                0.30727,                 1.7586,                0.68219,                0.79925,             0.00017675,             0.00017675,             0.00017675
                    104,                 1.8435,                0.81649,                0.77259,                0.89008,                0.64895,                0.69629,                0.33005,                 1.6218,                0.62735,                0.79599,             0.00017498,             0.00017498,             0.00017498
                    105,                  1.873,                0.83566,                0.76373,                 0.8981,                0.64481,                0.69858,                0.32677,                 1.6475,                 0.6264,                0.79864,             0.00017322,             0.00017322,             0.00017322
                    106,                 1.8366,                0.80069,                0.76574,                0.90271,                  0.644,                0.69867,                0.32469,                 1.6618,                 0.6293,                0.79676,             0.00017145,             0.00017145,             0.00017145
                    107,                 1.8613,                0.83944,                0.76181,                0.91857,                0.64613,                0.70805,                0.32371,                 1.6857,                 0.6436,                0.79689,             0.00016968,             0.00016968,             0.00016968
                    108,                 1.8327,                 0.8112,                0.76725,                0.90046,                0.63605,                0.69537,                0.31545,                 1.6927,                0.64847,                0.79767,             0.00016791,             0.00016791,             0.00016791
                    109,                 1.8394,                0.82258,                0.76411,                0.91886,                0.64593,                0.71048,                0.33041,                  1.669,                  0.627,                 0.7972,             0.00016615,             0.00016615,             0.00016615
                    110,                 1.8343,                0.82745,                0.76593,                0.91463,                0.62942,                0.70458,                0.33283,                 1.6445,                0.65625,                0.79689,             0.00016438,             0.00016438,             0.00016438
                    111,                 1.7975,                0.79806,                0.76705,                0.91003,                0.64441,                0.70004,                0.32092,                 1.6801,                0.63295,                0.79578,             0.00016261,             0.00016261,             0.00016261
                    112,                 1.8143,                0.80445,                0.76416,                0.90809,                0.63972,                0.69646,                0.32821,                 1.6419,                0.62504,                0.79602,             0.00016085,             0.00016085,             0.00016085
                    113,                 1.8509,                0.80951,                0.76998,                0.91677,                0.62592,                0.69444,                0.31883,                 1.6813,                0.65348,                0.79577,             0.00015908,             0.00015908,             0.00015908
                    114,                  1.836,                0.81765,                 0.7617,                0.90865,                0.63578,                0.69895,                0.31402,                 1.7132,                0.65001,                0.79895,             0.00015731,             0.00015731,             0.00015731
                    115,                 1.8253,                0.79689,                0.76366,                0.91532,                0.64569,                0.71222,                 0.3417,                 1.6322,                0.62646,                0.79706,             0.00015554,             0.00015554,             0.00015554
                    116,                 1.8235,                0.80439,                0.76381,                0.91632,                0.64028,                0.70673,                0.31621,                 1.7196,                0.65434,                0.79822,             0.00015378,             0.00015378,             0.00015378
                    117,                 1.8295,                0.80116,                0.76807,                0.90421,                0.65026,                0.70365,                0.33435,                 1.6249,                0.61776,                0.79545,             0.00015201,             0.00015201,             0.00015201
                    118,                 1.8183,                0.80582,                0.76981,                0.90614,                 0.6473,                 0.7085,                0.32443,                 1.6899,                0.64246,                0.79808,             0.00015024,             0.00015024,             0.00015024
                    119,                 1.8149,                0.79988,                0.76559,                0.90464,                0.64504,                0.70515,                0.33534,                  1.652,                0.62378,                0.79586,             0.00014848,             0.00014848,             0.00014848
                    120,                 1.8242,                0.80027,                0.76625,                0.90991,                0.65401,                0.71203,                0.33578,                 1.6537,                0.61914,                0.79681,             0.00014671,             0.00014671,             0.00014671
                    121,                 1.8097,                0.80381,                0.76539,                0.92592,                0.65691,                0.72287,                0.33709,                 1.6434,                0.62534,                0.79637,             0.00014494,             0.00014494,             0.00014494
                    122,                 1.8255,                0.79698,                0.76827,                0.93157,                0.65149,                0.72248,                0.33712,                 1.6319,                 0.6266,                0.79639,             0.00014317,             0.00014317,             0.00014317
                    123,                 1.7932,                0.79275,                0.76134,                0.91661,                0.64879,                0.71174,                0.31818,                  1.706,                0.64667,                0.79702,             0.00014141,             0.00014141,             0.00014141
                    124,                 1.8105,                0.79119,                0.76182,                0.90074,                0.64806,                0.71272,                0.33949,                 1.6292,                0.62613,                0.79444,             0.00013964,             0.00013964,             0.00013964
                    125,                 1.8006,                0.77887,                0.76885,                0.91742,                 0.6491,                0.71504,                0.33033,                 1.6527,                0.63073,                 0.7945,             0.00013787,             0.00013787,             0.00013787
                    126,                 1.7963,                0.79128,                0.76306,                0.91886,                0.64526,                0.70775,                0.31617,                 1.7116,                0.63729,                0.79765,             0.00013611,             0.00013611,             0.00013611
                    127,                   1.83,                0.80455,                0.76284,                0.92191,                0.65706,                0.71736,                0.34063,                 1.6241,                0.62171,                0.79519,             0.00013434,             0.00013434,             0.00013434
                    128,                 1.8145,                0.79786,                0.76141,                0.92745,                0.65303,                0.71258,                0.32706,                 1.6712,                0.63025,                0.79594,             0.00013257,             0.00013257,             0.00013257
                    129,                 1.8164,                0.80496,                0.76605,                0.92971,                0.65381,                0.71612,                0.33433,                 1.6527,                0.63647,                0.79637,              0.0001308,              0.0001308,              0.0001308
                    130,                 1.8094,                0.78065,                0.76823,                 0.9166,                 0.6667,                0.72022,                0.33595,                 1.6356,                 0.6239,                0.79494,             0.00012904,             0.00012904,             0.00012904
                    131,                 1.8093,                0.79695,                0.76412,                0.91432,                0.65945,                0.71239,                0.33558,                 1.6452,                0.62845,                 0.7943,             0.00012727,             0.00012727,             0.00012727
                    132,                 1.7903,                0.78547,                0.76498,                0.90287,                0.64502,                0.70207,                0.33773,                 1.6329,                0.62585,                 0.7951,              0.0001255,              0.0001255,              0.0001255
                    133,                 1.7875,                0.77833,                0.76583,                0.89265,                0.64332,                0.69661,                0.33423,                 1.6284,                0.62259,                0.79451,             0.00012374,             0.00012374,             0.00012374
                    134,                 1.7913,                0.78641,                0.76404,                0.90877,                 0.6486,                 0.7173,                0.34035,                  1.644,                 0.6288,                0.79396,             0.00012197,             0.00012197,             0.00012197
                    135,                  1.764,                0.77067,                0.76294,                0.91748,                0.65207,                0.72065,                0.34163,                 1.6091,                0.62052,                0.79327,              0.0001202,              0.0001202,              0.0001202
                    136,                 1.7828,                0.78171,                0.76361,                0.90507,                0.64622,                0.70183,                0.32707,                 1.6535,                0.61686,                0.79405,             0.00011843,             0.00011843,             0.00011843
                    137,                 1.8217,                0.80499,                0.75672,                0.91452,                 0.6345,                 0.7097,                0.31646,                 1.7112,                0.66647,                0.79783,             0.00011667,             0.00011667,             0.00011667
                    138,                 1.8111,                0.79849,                0.75692,                0.89864,                0.64979,                0.71597,                0.33947,                 1.6352,                0.62546,                0.79454,              0.0001149,              0.0001149,              0.0001149
                    139,                 1.8012,                0.78037,                0.76213,                0.90058,                0.64822,                0.70646,                0.31925,                 1.6785,                0.63409,                0.79655,             0.00011313,             0.00011313,             0.00011313
                    140,                 1.7927,                0.78169,                 0.7629,                0.90988,                0.64837,                0.70749,                0.33422,                  1.624,                0.61819,                0.79621,             0.00011137,             0.00011137,             0.00011137
                    141,                 1.7798,                0.77339,                0.75638,                 0.9051,                0.64601,                0.70992,                0.32185,                 1.6878,                0.62723,                0.79712,              0.0001096,              0.0001096,              0.0001096
